1,id1,1234,최만수,01627516850,13974,서울 노원구 월계4동 산76 인덕대학 1,id1@aaa.com,1990-01-01,0
2,id2,1234,노호진,01194828126,13974,서울 노원구 월계4동 산76 인덕대학 2,id2@aaa.com,1990-01-02,0
3,id3,1234,배국수,01096039258,13974,서울 노원구 월계4동 산76 인덕대학 3,id3@aaa.com,1990-01-03,0
4,id4,1234,윤서진,01091844399,13974,서울 노원구 월계4동 산76 인덕대학 4,id4@aaa.com,1990-01-04,0
5,id5,1234,방미주,01099755351,13974,서울 노원구 월계4동 산76 인덕대학 5,id5@aaa.com,1990-01-05,0
6,id6,1234,고형진,01166762495,13974,서울 노원구 월계4동 산76 인덕대학 6,id6@aaa.com,1990-01-06,0
7,id7,1234,이청자,01094877537,13974,서울 노원구 월계4동 산76 인덕대학 7,id7@aaa.com,1990-01-07,0
8,id8,1234,강상석,01197185678,13974,서울 노원구 월계4동 산76 인덕대학 8,id8@aaa.com,1990-01-08,0
9,id9,1234,임규준,01073292701,13974,서울 노원구 월계4동 산76 인덕대학 9,id9@aaa.com,1990-01-09,0
10,id10,1234,김경준,01190606874,13974,서울 노원구 월계4동 산76 인덕대학 10,id10@aaa.com,1990-01-10,0
11,id11,1234,양재하,01089926173,13974,서울 노원구 월계4동 산76 인덕대학 11,id11@aaa.com,1990-01-11,0
12,id12,1234,김준석,01064537232,13974,서울 노원구 월계4동 산76 인덕대학 12,id12@aaa.com,1990-01-12,0
13,id13,1234,이자중,01064745307,13974,서울 노원구 월계4동 산76 인덕대학 13,id13@aaa.com,1990-01-13,0
14,id14,1234,김미래,01047855453,13974,서울 노원구 월계4동 산76 인덕대학 14,id14@aaa.com,1990-01-13,0
15,id15,1234,황장호,01098569569,13974,서울 노원구 월계4동 산76 인덕대학 15,id15@aaa.com,1990-01-15,0
16,id16,1234,원정현,01697973609,13974,서울 노원구 월계4동 산76 인덕대학 16,id16@aaa.com,1990-01-16,0
17,id17,1234,김성현,01071584786,13974,서울 노원구 월계4동 산76 인덕대학 17,id17@aaa.com,1990-01-17,0
18,id18,1234,윤다영,01046694702,13974,서울 노원구 월계4동 산76 인덕대학 18,id18@aaa.com,1990-01-18,0
19,id19,1234,손양진,01093001886,13974,서울 노원구 월계4동 산76 인덕대학 19,id19@aaa.com,1990-01-19,0
20,id20,1234,서지범,01029917437,13974,서울 노원구 월계4동 산76 인덕대학 20,id20@aaa.com,1990-01-20,0
21,id21,1234,최고은,01098929293,13974,서울 노원구 월계4동 산76 인덕대학 21,id21@aaa.com,1990-01-21,0
22,id22,1234,현자석,01046535203,13974,서울 노원구 월계4동 산76 인덕대학 22,id22@aaa.com,1990-01-22,0
23,id23,1234,고미진,01034049565,13974,서울 노원구 월계4동 산76 인덕대학 23,id23@aaa.com,1990-01-23,0
24,id24,1234,임양지,01045451735,13974,서울 노원구 월계4동 산76 인덕대학 24,id24@aaa.com,1990-01-24,0
25,id25,1234,박조향,01027762059,13974,서울 노원구 월계4동 산76 인덕대학 25,id25@aaa.com,1990-01-25,0
26,id26,1234,고망현,01116371347,13974,서울 노원구 월계4동 산76 인덕대학 26,id26@aaa.com,1990-01-26,0
27,id27,1234,이당진,01035384656,13974,서울 노원구 월계4동 산76 인덕대학 27,id27@aaa.com,1990-01-27,0
28,id28,1234,박지영,01034593479,13974,서울 노원구 월계4동 산76 인덕대학 28,id28@aaa.com,1990-01-28,0
29,id29,1234,이영성,01023213028,13974,서울 노원구 월계4동 산76 인덕대학 29,id29@aaa.com,1990-01-29,0
30,id30,1234,박자재,01032624503,13974,서울 노원구 월계4동 산76 인덕대학 30,id30@aaa.com,1990-01-30,0
